text,text_cleaned,length,phobert_pred_name,phobert_conf,prob_clean,prob_off,prob_hate,lr_pred,bilstm_pred
Óc chó,óc chó,2,HATE,0.9794,0.003,0.0176,0.9794,2,1
"Nền giáo dục phương tây đã dạy gì cho những \""ai kia\""☹️. Nghĩ nó chán, sang chảnh mà ý thức l0l😑",nê n gia_o du_c phương tây đa da y_gi cho như ng ai kia nghi_no cha_n sang cha nh ma y_thư c l0l,23,HATE,0.9398,0.0443,0.0159,0.9398,0,0
Toang thực sự 😐,toang thực_sự,2,CLEAN,0.9917,0.9917,0.0059,0.0024,0,0
Công nghệ xây cầu mới của đảng và nhà nước ta đấy! Thế giới chưa nước nào có đâu,công_nghệ xây cầu mới của đảng và nhà_nước ta đấy thế_giới chưa nước nào có đâu,16,CLEAN,0.9804,0.9804,0.0057,0.0139,2,2
Ng Tuấn Châu uầy gắt vđ,ng tuấn châu_uầy gắt vđ,5,CLEAN,0.9941,0.9941,0.0028,0.0031,0,0
được vl anh độ ạ😂,được vãi anh độ ạ,5,CLEAN,0.9961,0.9961,0.002,0.0018,0,0
Xem bực mình thêm,xem bực_mình thêm,3,CLEAN,0.9693,0.9693,0.0282,0.0025,0,0
Lại sống như rau dền :)))),lại sống như rau dền,5,CLEAN,0.9921,0.9921,0.005,0.0029,1,1
có nghe tộc trưởng nói không.. đợi cái loz,có nghe_tộc trưởng nói không đợi cái loz,8,HATE,0.9684,0.0062,0.0255,0.9684,1,1
Phan Linh đb ct có lm j đâu ? Mà ss chán,phan_linh_đb ct có lm gì đâu mà ss chán,9,HATE,0.951,0.0339,0.0151,0.951,0,0
Xe hơi say cm 😂,xe_hơi say cm,3,CLEAN,0.9961,0.9961,0.0021,0.0018,1,1
Mom cho ko moc dc nga Voi,mom cho không moc được nga voi,7,CLEAN,0.9782,0.9782,0.006,0.0158,1,1
tao lại dưới loz tao lại lên .kkk,tao lại dưới loz tao lại lên không,8,CLEAN,0.5131,0.5131,0.4783,0.0086,0,1
Nham lôn quá,nham lôn qua,3,HATE,0.9516,0.0059,0.0424,0.9516,2,1
Anh ơi :( đau vcl,anh ơi đau vãi,4,CLEAN,0.7525,0.7525,0.2425,0.005,0,1
Diễm Quỳnh gét burn real vãi l,diễm quỳnh_gét burn real vãi l,6,CLEAN,0.9881,0.9881,0.0089,0.003,0,1
Nghe như đấm vào tai,nghe như đấm vào tai,5,CLEAN,0.9892,0.9892,0.0082,0.0025,1,1
"Lê Trọng Nghĩa Phục làm gì bạn? Phục xong về hít bụi mịn, ăn đồ trộn hoá chất, hộ chiếu chỉ đi được Châu Phi với Đông Nam Á như bạn hả?",lê_trọng_nghĩa_phục làm gì bạn_phục xong về hít bụi mịn ăn_đồ trộn hóa chất hộ_chiếu chỉ đi được châu_phi với đông nam_á như bạn hả,24,HATE,0.9903,0.0062,0.0035,0.9903,2,1
Sân bay chưa xây mà cao tốc kẹt như cơm bữa! Đường khẩn cấp mà chạy chiếm hết ý thức!,sân_bay chưa xây mà cao_tô c_kẹt như cơm bư anh đươ ng khẩn_câ p mà chạy chiê_mày hê tao ý thư c,22,HATE,0.691,0.2935,0.0155,0.691,0,0
"Chửi vô tội vạ mà đéo biết báo từ đời nào rồi,và chỉ phạt các doanh nghiệp mua điện nhưng lại k sử dụng để tránh lãng phí thôi chứ dân dùng bằng nào thu bằng đấy,toàn những con bò",chư i vô_tô i va_ma đe o biê tao ba o tư_đơ i na_o rô i va_chi pha tao ca c doanh_nghiê p mua điê_n nhưng la i không sư du_ng đê_tra nh la ng phi thôi chư dân du_ng bă ng na_o thu bă ng đâ_y toa_n như ng con bo,52,HATE,0.9892,0.0072,0.0036,0.9892,2,2
Cây bút hình con cu à :>>,cây bút_hình con cu à,5,CLEAN,0.994,0.994,0.0028,0.0032,2,1
"Dạo này bệnh lợn tả châu phi tạm yên !! Bây giờ lại bắt đầu bệnh bò điên hoang tưởng , rối loạn phân liệt ông giáo ạh ! Thế có nguy ko chứ",dạo này bệnh lợn_tả châu_phi tạm yên bây_giờ lại bắt_đầu bệnh bò_điên hoang_tưởng rối_loạn phân_liệt ông giáo_ạh thế có nguy_không chứ,21,HATE,0.9123,0.0743,0.0134,0.9123,2,2
Bớt ảo tưỡng đi,bớt ảo tưỡng đi,4,CLEAN,0.9952,0.9952,0.0029,0.0019,0,0
"Phải,VN vô số tham nhũng,lại vụ nữa đây,sắp đại hội gì đó",phải vn vô_số tham_nhũng lại vụ nữa đây sắp đại_hội gì đó,12,HATE,0.8132,0.0058,0.1811,0.8132,0,1
Emma Nguyen vậy mà ca ngợi bên kia lắm... Về làm lol gì,emma nguyen vậy_mà ca_ngợi bên kia lắm về làm lol gì,11,HATE,0.988,0.0072,0.0048,0.988,2,1
BÓNG ĐÁ- chính là “RẠP XIẾC”.,bóng_đá chính là rạp xiếc,5,CLEAN,0.9941,0.9941,0.003,0.0029,0,0
Đi coppy ảnh của page khác không ghi nguồn. :))) kém chuyên nghiệp,đi coppy_ảnh của page khác không ghi nguồn kém chuyên_nghiệp,10,CLEAN,0.9952,0.9952,0.0028,0.002,0,0
Quang Quang Tường cãi lộn cát không,quang_quang tường cãi_lộn cát không,5,CLEAN,0.7897,0.7897,0.0182,0.1921,0,1
Thời trang với thời chủng nhìn mất hết cảm tình 😬😬,thời_trang với thời_chủng nhìn mất hết cảm_tình,7,CLEAN,0.755,0.755,0.239,0.006,1,1
Kim Phượng thế con ngu ở hà nội p nó cũng nhảy bông nhông khắp nơi đó p,kim phượng thế con ngu ở hà_nội p nó cũng nhảy bông_nhông khắp_nơi đó p,15,CLEAN,0.9692,0.9692,0.0055,0.0254,0,0
Ghê vãi,ghê vãi,2,CLEAN,0.7957,0.7957,0.1998,0.0044,1,1
cho a bu voi,cho anh bu voi,4,CLEAN,0.9957,0.9957,0.0015,0.0028,0,0
"Ăn thua gì, ăn mừng đón con khỉ nói tiếng Hoa cũng chết vài triệu mạng rồi.",ăn_thua gì ăn_mừng đón con khỉ nói tiếng hoa cũng chết vài triệu mạng rồi,15,HATE,0.9856,0.0064,0.008,0.9856,0,2
"Lên núi làm hảo hán, cướp của quan tham chia cho dân nghèo. Về đầu thú là tội chết.",lên núi làm hảo_hán cướp của quan tham_chia cho dân_nghèo về đầu_thú là tội chết,15,HATE,0.5343,0.0248,0.4408,0.5343,2,0
Vậy đủ chậm chưaaa đumaaaaaaaa,vậy đủ chậm chưaa đumaa,5,CLEAN,0.9955,0.9955,0.0019,0.0026,0,0
"thằng dưới thì thấy thế này, chứ đm thằng ad mà làm quan to xem, thử mở mồm ra nói nghĩ cho dân xem nào :)) thanh niên GATO",thằng dưới thì thấy thế_này chứ đm thằng admin mà làm quan to xem thử mở mồm ra nói nghĩ cho dân xem nào thanh_niên ghen ăn_tức ở,28,HATE,0.9902,0.0056,0.0042,0.9902,2,2
T cố gắng nghe hết nhưng đâu tai thật sự,tao cố_gắng nghe hết nhưng đâu_tai thật_sự,7,CLEAN,0.9963,0.9963,0.0018,0.0018,0,0
má dầu thơm giả sức cho ghẻ người,má dầu thơm giả_sức cho ghẻ người,7,CLEAN,0.9957,0.9957,0.0022,0.0022,0,0
Anh em cc,anh_em cc,2,HATE,0.9891,0.0062,0.0047,0.9891,1,1
Nguễn Trường vcl intro,nguễn trường vãi intro,4,CLEAN,0.9894,0.9894,0.0081,0.0025,0,0
Làm riết thấy chán. Lên cao thủ lẹ đi ông già,làm riết thấy chán lên cao_thủ lẹ đi ông_già,9,CLEAN,0.983,0.983,0.0054,0.0117,0,0
Việt Nam thì nó lại là lồn các cậu ạ 🤦🤦,việt_nam thì nó lại là lồn các cậu ạ,9,HATE,0.9665,0.0108,0.0227,0.9665,2,1
Đồ Uyển Đình Ngọc dcm=)) chai sting vô đầu nha,đồ uyển_đình ngọc dcm chai sting vô đầu nha,9,HATE,0.9889,0.0058,0.0053,0.9889,2,2
Bất hạnh nhất cuộc đời là ra trường rồi mà bạn vẫn ngu dốt .😔 đáng buồn cho nghành giáo dục,bất_hạnh nhất cuộc_đời là ra trường rồi mà bạn vẫn ngu_dốt đáng buồn cho ngành giáo_dục,16,HATE,0.9861,0.0098,0.0041,0.9861,0,0
"hi sinh thầm lặng cho mấy thằng sếp của nó đứng đằng xa, nó cũng có phần chia chát trong đó rồi còn gì bạn ! Tôi muốn cứ 3km lại có 1 trạm bắn tốc độ công khai, hoặc gắn camera. Như thế dân sẽ sợ và tự giác chấp hành hơn. Còn cái thể loại núp lùm ăn tiền thế này ai khen nổi mà đăng bài chia sẻ với cả động viên !",hi_sinh thâ mày lă ng cho mâ y_thă ng sê p cu anh no đư ng đă ng xa no cu ng co_phâ n chia cha tao trong đo rô i co_n gi ba n tôi muô n_cư 3 km la i co 1 tra mày bă n tô c_đô công_khai hoă c gă n camera như thê_dân se sơ_va tư_gia_c châ p ha nh hơn co_n ca i thê_loa i nu p lu_mày ăn tiê_n thê_na_y ai khen nô i ma đăng ba i chia se_vơ i ca_đô ng_viên,90,HATE,0.9881,0.0085,0.0034,0.9881,2,2
Bộ hết người hay sao vậy trời...,bộ hết người hay sao vậy trời,7,CLEAN,0.996,0.996,0.0018,0.0022,0,0
Trần Bắc Hà cũng chết trong tù đó!,trần bắc_hà cũng chết trong tù đó,7,CLEAN,0.8486,0.8486,0.0089,0.1424,0,1
Này khẩu phật tâm xà,này khẩu phật_tâm xà,4,CLEAN,0.9904,0.9904,0.0028,0.0068,0,0
Sao già xap xuong lô roi ma len mang chui chi vay that la xau hô,sao già xap xuong lô roi ma len mang chui chi vay that_la xau hô,15,HATE,0.9885,0.0075,0.004,0.9885,2,2
"Thôn làm vậy là do thôn lầm, thôn lầm nên dân nó ghét, nó bật lại là thôn cái lù",thôn làm_vậy là do thôn lầm_thôn lầm nên dân nó ghét nó bật lại là thôn cái lù,18,HATE,0.9769,0.0141,0.009,0.9769,2,2
bút thì chả cần bỏ mẹ ra :)),bút thì chả cần bỏ mẹ ra,7,CLEAN,0.8081,0.8081,0.1873,0.0045,0,1
Mình nói lớn mà ngu thì lại nói mình hỗn. Ý thức như đachlone,mình nói lớn mà ngu thì lại nói mình hỗn_ý_thức như đachlone,12,HATE,0.6781,0.0374,0.2845,0.6781,2,1
Cứ có tiền là muốn lz cũg đc à:)),cứ có tiền là muốn lz cũg được à,9,CLEAN,0.514,0.514,0.4801,0.0059,2,1
Đánh chết mẹ nó đi chị để nó mất dạy quá,đánh chết mẹ nó đi chị để nó mất dạy quá,11,HATE,0.9884,0.0054,0.0062,0.9884,2,2
"quay được phim rồi thì lấy xe bắt chó ra bắt đi , chờ gì nữa",quay được phim rồi thì lấy xe bắt chó ra bắt đi chờ gì nữa,15,CLEAN,0.9056,0.9056,0.0831,0.0113,1,1
Thanglon nào cũng từng như thế cacban ạ 😌😌😌,thanglon nào cũng từng như_thế cacban ạ,7,HATE,0.8833,0.0091,0.1075,0.8833,0,0
Máu cộng sản ăn vào người rùi nên vậy.,máu cộng_sản ăn vào người rồi nên vậy,8,HATE,0.9515,0.0262,0.0223,0.9515,2,2
Thằng Trung có con *** to lắm,thằng trung có con to lắm,6,HATE,0.9901,0.0062,0.0037,0.9901,2,2
con di~ dang hang leo rank,con di_dang hang leo rank,5,HATE,0.9842,0.0115,0.0043,0.9842,2,2
duanhuaditron là clgt :v,duanhuaditron là clgt vậy,4,HATE,0.9884,0.0073,0.0044,0.9884,1,0
"Cô ba chở vàng qua mỹ :)) nghe hư cấu vl,mày vào xem ký sự 30/4 đi nhé",cô ba chở vàng qua mỹ nghe hư cấu_vãi mày vào xem ký_sự 30 4 đi nhé,17,CLEAN,0.9746,0.9746,0.0218,0.0036,0,2
"Người ta đã xin lỗi rồi sao cứ vào nick người ta xem rồi đăng lên chửi hoài,nó chửi thề thì kệ nó,nó chửi mấy người chửi nó chứ đau có dám đem người VN ra chửi nữa đau mà nhào vào chửi nó cả vô duyên thế",ngươ i ta đa xin lô i rô i sao_cư va_o nick ngươ i ta xem rô i đăng lên chư i hoa i_no chư i thê_thi kê no no chư i mâ y_ngươ i chư i no chư đau_co da mày đem ngươ i vn ra chư i nư anh đau ma_nha o va_o chư i no_ca vô_duyên thê,60,CLEAN,0.987,0.987,0.0059,0.0072,2,2
"dùng tiền ém nhẹm cu ơi. từ nguyên đơn thành bị đơn thôi, 1 người ko thể chống cả tập đoàn được",dùng tiền ém_nhẹm cu ơi từ nguyên_đơn thành bị_đơn thôi 1 người không_thể chống cả tập_đoàn được,17,CLEAN,0.7469,0.7469,0.1928,0.0602,2,1
Mỗi khi anh độ chửi bậy nó sẽ giật... Sau khi giật xong anh độ sẽ đập nó xuống bàn và chửi đitconmemay giật cailon :),mỗi khi anh độ chửi bậy nó sẽ giật sau khi giật xong anh độ sẽ đập nó xuống bàn và chửi đitconmemay giật cailon,25,HATE,0.7227,0.0095,0.2678,0.7227,2,2
Bớt bớt dô diên dùm cái nha 😒,bớt bớt dô diên dùm cái nha,7,CLEAN,0.8249,0.8249,0.1616,0.0135,0,2
"Yên tâm về Việt Nam thành phế vật ngay ae ạ . Nước ngoài nó chỉ có fuck you , oh shit ... còn về Việt Nam thì k đc đmm thì đcmm hoặc độu má m ... phế chắc chắn 🤣🤣🤣",yên_tâm về việt_nam thành phế_vật ngay ae ạ nước_ngoài nó chỉ có fuck you oh shit còn về việt_nam thì không được đmm thì đcmm hoặc độu má mày phế chắc_chắn,31,HATE,0.9909,0.005,0.0041,0.9909,2,2
Đoàn Trung Hiếu vãi loinmm,đoàn trung_hiếu vãi loinmm,4,HATE,0.9878,0.0075,0.0046,0.9878,0,0
Giàu thường hay quên cách ăn mặc á :)),giàu thường hay quên cách ăn_mặc á,7,CLEAN,0.914,0.914,0.0813,0.0047,0,0
Chán không thèm nói!,chán không thèm nói,4,CLEAN,0.9941,0.9941,0.004,0.0019,1,1
Anh em Bắc mà bớ được thì được đập mặt xây lại là ít,anh_em bắc mà bớ được thì được đập mặt xây lại là ít,13,HATE,0.9436,0.0452,0.0112,0.9436,0,1
Hoang mang😱,hoang_mang,1,CLEAN,0.9942,0.9942,0.0039,0.0018,0,0
"nó ko cộng điểm, mà nó cho thí sinh rớt bớt thôi, có bà chị gặp vụ này r :)))) thi điểm cao vẫn rớt nhé",nó không cộng_điểm mà nó cho thí_sinh rớt bớt thôi có bà chị gặp vụ này rồi thi_điểm cao vẫn rớt nhé,22,CLEAN,0.9928,0.9928,0.0029,0.0044,0,2
Đéo làm ngơ là tự ngã vào dùi cui ngay 😢😢😢,đe o_la mày ngơ_la tư_nga va_o du_i cui ngay,9,CLEAN,0.9069,0.9069,0.0478,0.0452,0,2
Nhanh chậm cái con mẹ chúng mày =))),nhanh châ mày ca i con me chu_ng ma_y,9,HATE,0.9824,0.0073,0.0103,0.9824,2,2
Toang thật nhỉ,toang thật nhỉ,3,CLEAN,0.9954,0.9954,0.0027,0.0019,0,1
Đình Quang ê đẹp trai vll ra bảo xấu đcm đây mới xàm l nàyy,đình_quang ê đẹp_trai vll ra bảo xấu đcm đây mới xàm l nàyy,13,HATE,0.4773,0.0696,0.453,0.4773,1,1
quá xấu hổ. đã nghèo dốt lại khệnh khạng,quá xấu_hổ đã nghèo dốt lại khệnh khạng,8,CLEAN,0.9079,0.9079,0.0858,0.0063,0,0
đ nhặt đc mồm với nỗi nhục của bạn này :v,đ nhặt được mồm với nỗi nhục của bạn này vậy,11,HATE,0.9891,0.006,0.0048,0.9891,1,1
Lê Luân đừng so sánh lương. Mà hãy so sánh quyền lực và lợi ích. Làm cty tư nhân là người lao động không có quyền lực . Còn làm nhà nước là con cháu các quan chức có quyền lực và nắm trong tay nguồn lực của địa phương vả quốc gia. Vì vậy một người hưởng lương do công sức lao động của mình và một người hưởng lợi ích từ toàn bộ dân địa phương hoặc quốc gia gom lại thì tiền của ai nhiều hơn????,lê luân_đừng so_sánh lương mà hãy so_sánh quyền_lực và lợi_ích làm cty tư_nhân là người lao_động không có quyền_lực còn làm nhà_nước là con_cháu các quan_chức có quyền_lực và nắm trong tay nguồn_lực của địa_phương_vả quốc_gia vì_vậy một người hưởng lương do công_sức_lao_động của mình và một người hưởng lợi_ích từ toàn_bộ dân địa_phương hoặc quốc_gia gom lại thì tiền của ai nhiều hơn,64,HATE,0.5423,0.2471,0.2106,0.5423,2,2
Tôi sin tuyên thệ .. trong nhiệm kỳ của mình sẽ cố gắng vơ vét đục khoét tàn phá đất nước này ko cho thằng sau lên ăn được gì nữa,tôi sin tuyên_thệ trong nhiệm_kỳ của mình sẽ cố_gắng vơ vét đục_khoét tàn_phá đất_nước này không cho thằng sau lên ăn được gì nữa,24,HATE,0.9409,0.0267,0.0324,0.9409,0,2
"Các ông có làm công ăn lương k?hay hàng tháng cứ đều đặn có thêm nguồn thu nhập khác từ việc nhận hối lộ ,quà biếu?",các ông có làm_công_ăn lương không hay hàng tháng cứ đều_đặn có thêm nguồn thu_nhập khác từ việc nhận hối_lộ quà biếu,22,CLEAN,0.9872,0.9872,0.0046,0.0082,0,0
Con sâu gặm tiền,con sâu gặm tiền,4,HATE,0.9303,0.0366,0.0331,0.9303,1,2
Nhìn del hỉu j luôn,nhìn del_hỉu gì luôn,4,CLEAN,0.9877,0.9877,0.01,0.0023,1,0
Huhu toang,buồn toang,2,CLEAN,0.9921,0.9921,0.0055,0.0024,0,1
"Tôi vẫn chưa hiểu, tại sao Saigon, một thành phố ""Ngụy"" đói khổ, bị bọn Mỹ ""Ngụy"" đàn áp, bóc lột, cần chế độ CS ta giải phóng, cứu đói, mà lại nộp ngân sách nhiều thế ! (bằng 55 tỉnh thành khác).",tôi vẫn chưa hiểu tại_sao saigon một thành_phố ngụy đói_khổ bị bọn mỹ_ngụy đàn_áp bóc_lột cần chế_độ có ta giải_phóng cứu đói mà_lại nộp ngân_sách nhiều thế bằng 55 tỉnh_thành khác,31,HATE,0.9704,0.0242,0.0053,0.9704,2,2
trời,trời,1,CLEAN,0.9943,0.9943,0.0033,0.0024,0,0
Ờ face dành cho con người k dành cho thú vật ok,ờ face dành cho con_người không dành cho thú_vật đồng_ý,10,CLEAN,0.9173,0.9173,0.0614,0.0213,0,0
Đợi cl thêm câu địt chị m độ said :v,đợi cl thêm câu địt chị mày độ said vậy,10,HATE,0.8054,0.0077,0.187,0.8054,1,1
"Đâu chỉ có HK, Vietnam cũng cần tẩy chay nhỉ, vì có hẳn cả 2 sao ủng hộ đường lưỡi bò",đâu chỉ có hk vietnam cũng cần tẩy_chay nhỉ vì có hẳn cả 2 sao ủng_hộ đường lưỡi bò,19,CLEAN,0.9935,0.9935,0.002,0.0045,0,1
học putin chỉnh đồng hồ à?,học putin_chỉnh đồng_hồ à,4,CLEAN,0.9962,0.9962,0.0019,0.0019,0,0
Nguyễn Ngọc Sơn dm chac may lam pr cho cai page nay chac,nguyễn_ngọc sơn_dm chac may lam_pr cho cai_page nay chac,9,CLEAN,0.486,0.486,0.0384,0.4756,0,0
Mỹ Châu nhìn bếck vđ,mỹ_châu nhìn bếck vđ,4,CLEAN,0.9585,0.9585,0.0229,0.0186,0,0
Dừa cái lone lắm nghe 🙃🙃🙃,dừa cái lone lắm nghe,5,CLEAN,0.9652,0.9652,0.0311,0.0038,1,1
Trym to,trym to,2,CLEAN,0.9963,0.9963,0.0019,0.0018,1,0
20-10 vui vẻ con bóng sadec:)),20 10 vui_vẻ con bóng sadec,6,CLEAN,0.9914,0.9914,0.0024,0.0062,0,0
Tối qua xem đoạn này mà đéo dám cười,tối_qua xem đoạn này mà đéo dám cười,8,CLEAN,0.9846,0.9846,0.0134,0.0019,0,1
Huyền Khánh Phùng nếu e không tiện thì tôi sẽ book vé vào Hà Nội làm người yêu em ??? Và tối nay chúng ta sẽ địt,huyền_khánh phùng nếu em không tiện thì tôi sẽ book vé vào hà_nội làm người_yêu em và tối nay chúng_ta sẽ địt,22,CLEAN,0.9964,0.9964,0.0019,0.0018,0,0
Mình đang tìm một con bò đặc điểm nhận dạng nó kêu cực kì thuyết phục nha có hậu tạ :;),mình đang tìm một con bò đặc_điểm nhận_dạng nó kêu cực_kì thuyết_phục_nha có_hậu tạ,14,HATE,0.9909,0.0053,0.0039,0.9909,2,2
Ôi cát mẹt của bả,ôi cát mẹt của bả,5,CLEAN,0.9911,0.9911,0.0041,0.0048,0,0
Nghiệp Quật,nghiệp quật,2,CLEAN,0.8251,0.8251,0.1668,0.0081,1,1
"đầu còn lắc được là chưa kẹt nha, mấy anh nói khi nào không nhúc nhích được mới là Kẹc",đầu còn lắc được là chưa kẹt nha mấy anh nói khi nào không nhúc_nhích được mới là kẹc,19,CLEAN,0.986,0.986,0.0045,0.0096,0,0
nhin cai mac hok bt la trông hay mai ma sao lôn va nô wa z troi,nhin cai_mac không bình_thường la_trông hay mai_ma sao lôn va_nô quá vậy troi,13,HATE,0.9896,0.0066,0.0038,0.9896,0,0
"NO RECORDING, FILMING, PHOTO TAKING mà nó ghi là TALKING. Cấm nói luôn à.",no recording filming photo taking mà nó ghi là talking cấm nói luôn à,14,CLEAN,0.9948,0.9948,0.0032,0.002,0,0
Wtf,wtf,1,CLEAN,0.9954,0.9954,0.0027,0.0019,0,0
