text,text_cleaned,length,true_label,true_name,lr_pred,lr_conf,bilstm_pred,bilstm_conf,phobert_pred,phobert_conf,prob_clean,prob_off,prob_hate,lr_correct,bilstm_correct,phobert_correct
Huyền Khánh Phùng nếu e không tiện thì tôi sẽ book vé vào Hà Nội làm người yêu em ??? Và tối nay chúng ta sẽ địt,huyền_khánh phùng nếu em không tiện thì tôi sẽ book vé vào hà_nội làm người_yêu em và tối nay chúng_ta sẽ địt,22,1,OFFENSIVE,0,0.9371,0,0.9805,0,0.9964,0.9964,0.0019,0.0018,False,False,False
Trym to,trym to,2,1,OFFENSIVE,1,0.8596,0,0.454,0,0.9963,0.9963,0.0019,0.0018,True,False,False
Vũ Thanh Huyền thấy cmt của bạn này nghe mùi ích kỉ tính vào nói vài câu mà thấy các bác nói nhiều quá thôi em xin rút hí hí,vũ_thanh_huyền thấy comment của bạn này nghe mùi_ích kỉ_tính vào nói vài câu mà thấy các bác nói nhiều quá thôi em xin rút hí hí,26,2,HATE,0,0.9314,0,0.9718,0,0.9963,0.9963,0.0014,0.0022,False,False,False
T cố gắng nghe hết nhưng đâu tai thật sự,tao cố_gắng nghe hết nhưng đâu_tai thật_sự,7,1,OFFENSIVE,0,0.829,0,0.7477,0,0.9963,0.9963,0.0018,0.0018,False,False,False
coin card :3,coin card 3,3,1,OFFENSIVE,0,0.9578,0,0.7476,0,0.9963,0.9963,0.0018,0.0019,False,False,False
Like 10 năm chất Liek bằng đầu bùi,like 10 năm chất liek bằng đầu bùi,8,1,OFFENSIVE,0,0.9151,0,0.9875,0,0.9962,0.9962,0.0017,0.0022,False,False,False
Manh thi song yeu thi chet,manh thi song yeu thi chet,6,1,OFFENSIVE,1,0.9292,0,0.4888,0,0.9962,0.9962,0.0019,0.0019,True,False,False
Nhảy ổn như mạng nhà t😕,nhảy ổn như mạng nhà tao,6,1,OFFENSIVE,0,0.9687,0,0.9402,0,0.9962,0.9962,0.0017,0.0021,False,False,False
Đậu rồi má hay đậu má rồi các bạn nhỏ ??? :))),đậu rồi má hay đậu má rồi các bạn nhỏ,10,1,OFFENSIVE,0,0.5486,0,0.9805,0,0.9962,0.9962,0.0017,0.002,False,False,False
Sau đợt này về mở 1 chuỗi cửa hàng bánh tráng đc rồi chúc mừng anh 😏,sau đợt này về mở 1 chuỗi cửa_hàng bánh_tráng được rồi chúc_mừng anh,13,2,HATE,0,0.8831,0,0.7274,0,0.9962,0.9962,0.0016,0.0022,False,False,False
Bao giờ chết,bao_giờ chết,2,1,OFFENSIVE,0,0.4959,1,0.4544,0,0.9962,0.9962,0.002,0.0018,False,True,False
học putin chỉnh đồng hồ à?,học putin_chỉnh đồng_hồ à,4,1,OFFENSIVE,0,0.9945,0,0.9033,0,0.9962,0.9962,0.0019,0.0019,False,False,False
"Vâng! Xin giới thiệu vs các bạn, đây là ông Cao Thất Đức!",vâng xin giới_thiệu vs các bạn đây là ông cao thất_đức,11,2,HATE,0,0.9861,0,0.9615,0,0.9961,0.9961,0.0013,0.0026,False,False,False
Xe hơi say cm 😂,xe_hơi say cm,3,1,OFFENSIVE,1,0.971,1,0.6789,0,0.9961,0.9961,0.0021,0.0018,True,True,False
Ngửi cho tỉnh đi 3 Gòa,ngửi cho tỉnh đi 3 gòa,6,2,HATE,0,0.8266,0,0.819,0,0.9961,0.9961,0.0016,0.0023,False,False,False
"Đào đất đóng gạch đi,đông về khối đứa cần ủ ấm.",đào đất đóng gạch đi đông về khối đứa cần ủ ấm,12,1,OFFENSIVE,0,0.8468,0,0.9204,0,0.9961,0.9961,0.0018,0.0021,False,False,False
được vl anh độ ạ😂,được vãi anh độ ạ,5,1,OFFENSIVE,0,0.7636,0,0.7407,0,0.9961,0.9961,0.002,0.0018,False,False,False
Tây nó lại bảo mới trốn viện,tây nó lại bảo mới trốn_viện,6,1,OFFENSIVE,0,0.8202,0,0.878,0,0.9961,0.9961,0.0014,0.0025,False,False,False
"Lí do lí trấu, chắc tin😏:)))",lí_do lí_trấu chắc tin,4,1,OFFENSIVE,0,0.9549,0,0.8633,0,0.996,0.996,0.0023,0.0017,False,False,False
Có đuỹ nào thả thính hôn,có đuỹ nào thả thính_hôn,5,1,OFFENSIVE,0,0.9375,0,0.8743,0,0.996,0.996,0.0018,0.0022,False,False,False
Bộ hết người hay sao vậy trời...,bộ hết người hay sao vậy trời,7,1,OFFENSIVE,0,0.9393,0,0.8834,0,0.996,0.996,0.0018,0.0022,False,False,False
Tiên tri Trần Dần về  Việt Nam ở nghĩa trang bình an,tiên_tri trần dần về việt_nam ở nghĩa_trang bình_an,8,2,HATE,0,0.9925,0,0.9596,0,0.996,0.996,0.0014,0.0026,False,False,False
toàn các cô gái ngồi xổm trym quệt đất ạ..,toàn các cô gái ngồi_xổm trym quệt đất ạ,9,1,OFFENSIVE,1,0.5973,0,0.5527,0,0.996,0.996,0.0016,0.0024,True,False,False
Động cơ của các vị là gì?,động_cơ của các vị là gì,6,1,OFFENSIVE,0,0.828,0,0.8843,0,0.996,0.996,0.0014,0.0026,False,False,False
"Tôi không dùng bảo hiểm , bởi vì bác sĩ coi thường sức khỏe bệnh nhân dùng bảo hiểm !!!!!!",tôi không dùng bảo_hiểm bởi_vì bác_sĩ coi_thường sức khỏe bệnh_nhân dùng bảo_hiểm,12,2,HATE,0,0.9749,0,0.9955,0,0.996,0.996,0.0019,0.002,False,False,False
Em tự hào vì làm chó cho Mể,em tư ha o vi_la mày cho cho mê,9,1,OFFENSIVE,0,0.8737,0,0.5274,0,0.9959,0.9959,0.0018,0.0024,False,False,False
Chữi nhiều quá tắt thở bây giờ,chữi nhiều quá tắt_thở bây_giờ,5,1,OFFENSIVE,0,0.9763,0,0.8496,0,0.9959,0.9959,0.0016,0.0025,False,False,False
Các hãng nổi tiếng calvin gucci chanel đều bên nước ngoài mắc gì đem về vn cho nhỏ đó tri ân tri nghĩa....có ăn qq quá ai nói Gì cũng tin biết cuộc đời sài chai nước hoa chính hãng chưa nữa,các hãng nổi_tiếng calvin gucci chanel đều bên nước_ngoài mắc gì đem về vn cho nhỏ đó tri_ân_tri_nghĩa có ăn_qq quá ai nói gì cũng tin biết cuộc_đời sài chai nước_hoa chính hãng chưa nữa,35,1,OFFENSIVE,1,0.583,0,0.6824,0,0.9959,0.9959,0.0022,0.0019,True,False,False
"Boxit nữa, đừng quên bùn đỏ",boxit nữa đừng quên bùn đỏ,6,1,OFFENSIVE,0,0.9579,0,0.9525,0,0.9958,0.9958,0.0018,0.0024,False,False,False
Oke Hasagi chết mọe đi 💀,oke hasagi chết mọe đi,5,1,OFFENSIVE,1,0.628,1,0.6149,0,0.9958,0.9958,0.0018,0.0023,True,True,False
Top1 ca sĩ nhưng k biết hát :)),top1 ca_sĩ nhưng không biết hát,6,1,OFFENSIVE,0,0.7931,0,0.8644,0,0.9958,0.9958,0.0018,0.0023,False,False,False
má dầu thơm giả sức cho ghẻ người,má dầu thơm giả_sức cho ghẻ người,7,1,OFFENSIVE,0,0.7203,0,0.945,0,0.9957,0.9957,0.0022,0.0022,False,False,False
"Cuốn dell nhặt đc mồm, toàn danh hài đất Việt :))",cuốn dell nhặt được mồm toàn_danh hài đất việt,9,1,OFFENSIVE,0,0.8494,1,0.4446,0,0.9957,0.9957,0.0024,0.0019,False,True,False
"mịa sao ko cởi giày, sắn quần lên đi vô rồi mang giày vô có sao đâu, Kiểu cách CS !!!",mịa sao không cởi giày sắn quần lên đi vô rồi mang giày vô có sao đâu kiểu cách có,20,2,HATE,0,0.5198,0,0.6918,0,0.9957,0.9957,0.0018,0.0025,False,False,False
cho a bu voi,cho anh bu voi,4,1,OFFENSIVE,0,0.9954,0,0.8416,0,0.9957,0.9957,0.0015,0.0028,False,False,False
"Chưa thử loz xách tay bao h,có thì ới 😂",chưa thử loz xách tay bao_giờ có thì ới,9,1,OFFENSIVE,1,0.9587,1,0.8208,0,0.9956,0.9956,0.0024,0.002,True,True,False
@Chiến trần Tao lao.,chiến_trần tao lao,3,1,OFFENSIVE,1,0.9479,1,0.5074,0,0.9956,0.9956,0.0019,0.0025,True,True,False
cô Ba có râu ha ha,cô ba có râu ha ha,6,2,HATE,0,0.9942,0,0.9821,0,0.9956,0.9956,0.0018,0.0026,False,False,False
hết mie nó rừng vàng biển bạc rồi.,hết mie nó rừng vàng biển bạc rồi,8,1,OFFENSIVE,0,0.9782,0,0.8923,0,0.9956,0.9956,0.0021,0.0023,False,False,False
Vậy đủ chậm chưaaa đumaaaaaaaa,vậy đủ chậm chưaa đumaa,5,1,OFFENSIVE,0,0.7782,0,0.9186,0,0.9955,0.9955,0.0019,0.0026,False,False,False
Wtf,wtf,1,1,OFFENSIVE,0,0.5362,0,0.4728,0,0.9954,0.9954,0.0027,0.0019,False,False,False
Toang thật nhỉ,toang thật nhỉ,3,1,OFFENSIVE,0,0.8577,1,0.5332,0,0.9954,0.9954,0.0027,0.0019,False,True,False
Nhung ơi Nhung ra đây mà xem nè em :) xem em đã làm j cho đất nước nè :),nhung ơi nhung ra đây mà xem nè em xem em đã làm_gì cho đất_nước nè,16,2,HATE,2,0.6848,1,0.4005,0,0.9953,0.9953,0.0023,0.0025,True,False,False
Sao không đền bằng rau muống?,sao không đền bằng rau_muống,5,1,OFFENSIVE,0,0.9647,0,0.8433,0,0.9953,0.9953,0.0023,0.0025,False,False,False
Nguyễn Minh Thu chếtluondi,nguyễn_minh_thu chếtluondi,2,2,HATE,0,0.9748,0,0.5188,0,0.9952,0.9952,0.0025,0.0023,False,False,False
"cách đây cũng 1 2 năm nghe tin đứa trẻ sinh ra đã cõng 22 triệu giờ 29 triệu , mấy ông đi vay tiền để tăng GDP à =))",cách đây cũng 1 2 năm nghe tin đứa trẻ sinh ra đã cõng 22 triệu giờ 29 triệu mấy ông đi vay tiền để tăng gdp à,28,2,HATE,0,0.8357,1,0.4391,0,0.9952,0.9952,0.0027,0.0022,False,False,False
"Tran Dan, ong co binh thuong khong vay ong?, ong nen di gap bac si de tri binh hoang tuong nhe ong, chuc ong khoe va bot di su hoang tuong.",tran dan_ong co_binh thuong không vay ong ong nen di_gap bac si_de tri_binh hoang_tuong nhe ong chuc_ong khoe va bot di_su hoang_tuong,22,2,HATE,0,0.6632,0,0.5564,0,0.9952,0.9952,0.0016,0.0031,False,False,False
Đi coppy ảnh của page khác không ghi nguồn. :))) kém chuyên nghiệp,đi coppy_ảnh của page khác không ghi nguồn kém chuyên_nghiệp,10,1,OFFENSIVE,0,0.9224,0,0.9026,0,0.9952,0.9952,0.0028,0.002,False,False,False
Thôi tụi nhật về nước dùm tao đi,thôi tụi nhật về nước dùm tao đi,8,2,HATE,0,0.8177,0,0.9161,0,0.9952,0.9952,0.0016,0.0031,False,False,False
Bớt ảo tưỡng đi,bớt ảo tưỡng đi,4,1,OFFENSIVE,0,0.9549,0,0.4656,0,0.9952,0.9952,0.0029,0.0019,False,False,False
Tsb 💩,tsb,1,1,OFFENSIVE,0,0.9636,0,0.4348,0,0.9951,0.9951,0.0028,0.0022,False,False,False
Má 🙂 Kiều Oanh Nguyễn Thị,má kiều_oanh nguyễn_thị,3,1,OFFENSIVE,0,0.9284,0,0.5548,0,0.9951,0.9951,0.0022,0.0027,False,False,False
Đây là thất bại của CS chứ còn gì nữa,đây là thất_bại của có chứ còn gì nữa,9,2,HATE,0,0.9176,0,0.7482,0,0.995,0.995,0.0027,0.0023,False,False,False
muon tan 1 phat vao mat,muon tan 1 phat vao mat,6,1,OFFENSIVE,0,0.7726,0,0.8514,0,0.995,0.995,0.0028,0.0022,False,False,False
Yen than muon ma muon luot qua zao than.dung la het thuoc chua,yen than muon ma muon luot qua zao than_dung la_het thuoc chua,12,1,OFFENSIVE,0,0.7868,0,0.6657,0,0.995,0.995,0.0026,0.0024,False,False,False
Con số 34 cũng làm lan rộng ra,con_số 34 cũng làm lan rộng ra,7,2,HATE,0,0.9519,0,0.8166,0,0.995,0.995,0.0023,0.0028,False,False,False
Tại c t chân thật quá k quỷ ma giống m,tại c tao chân_thật quá không quỷ ma giống mày,10,2,HATE,0,0.9468,0,0.7522,0,0.9949,0.9949,0.0015,0.0036,False,False,False
Ghẹo nó chi để nó chửi trời,ghẹo nó chi để nó chửi trời,7,1,OFFENSIVE,0,0.6196,1,0.533,0,0.9948,0.9948,0.0026,0.0026,False,True,False
"NO RECORDING, FILMING, PHOTO TAKING mà nó ghi là TALKING. Cấm nói luôn à.",no recording filming photo taking mà nó ghi là talking cấm nói luôn à,14,1,OFFENSIVE,0,0.9633,0,0.4517,0,0.9948,0.9948,0.0032,0.002,False,False,False
Uiss cùi vl :)) lương mấy chục ngìn đồng còn đc ăn pizza loại kẹo dẻo đây :)),uiss cùi vãi lương mấy chục ngìn đồng còn được ăn pizza loại kẹo dẻo đây,16,1,OFFENSIVE,0,0.8782,0,0.8652,0,0.9948,0.9948,0.0032,0.0021,False,False,False
Trường Giang ụa . Bả biết bả nhiễm s bả đ chịu khai báo cách ly đi . Chị bả nhiễm nguy cơ lay cho bả là rất cao . Hành khánh trên chuyến bay đó cũg bị nhiễm theo . Lớn r chứ phải con nít con noi,trường giang_ụa bả biết bả nhiễm sao bả đ chịu khai_báo cách_ly đi chị bả nhiễm nguy_cơ lay cho bả là rất cao_hành_khánh trên chuyến bay đó cũg bị nhiễm theo lớn rồi chứ phải con_nít con noi,38,2,HATE,2,0.6105,2,0.6913,0,0.9947,0.9947,0.0014,0.0039,True,True,False
@To Nhu Nguyen giả đầu m t sài r nha,to nhu_nguyen giả đầu mày tao sài rồi nha,9,2,HATE,2,0.6111,2,0.6153,0,0.9944,0.9944,0.002,0.0036,True,True,False
trời,trời,1,1,OFFENSIVE,0,0.9164,0,0.4373,0,0.9943,0.9943,0.0033,0.0024,False,False,False
Bảo vệ thì ăn chia rồi. Còn lãnh đạo trường thì đang cố giấu!,bảo_vệ thì ăn_chia rồi còn lãnh_đạo trường thì đang cố giấu,11,2,HATE,0,0.7186,0,0.6352,0,0.9943,0.9943,0.0019,0.0038,False,False,False
Hoang mang😱,hoang_mang,1,1,OFFENSIVE,0,0.6518,0,0.5052,0,0.9942,0.9942,0.0039,0.0018,False,False,False
"Chỉ 1/2 đất nước trong nội chiến vẫn & đã làm đc điều như này vào 60n trước....ôi!, tôi yêu mN của tôi biết nhường nào!",chỉ 1 2 đất_nước trong nội_chiến vẫn đã làm được điều như này vào 60 n trước ôi tôi yêu mọi người của tôi biết nhường nào,27,2,HATE,0,0.9907,0,0.9776,0,0.9942,0.9942,0.0022,0.0036,False,False,False
Chán không thèm nói!,chán không thèm nói,4,1,OFFENSIVE,1,0.9135,1,0.5774,0,0.9941,0.9941,0.004,0.0019,True,True,False
Ng Tuấn Châu uầy gắt vđ,ng tuấn châu_uầy gắt vđ,5,1,OFFENSIVE,0,0.9489,0,0.8295,0,0.9941,0.9941,0.0028,0.0031,False,False,False
BÓNG ĐÁ- chính là “RẠP XIẾC”.,bóng_đá chính là rạp xiếc,5,1,OFFENSIVE,0,0.4857,0,0.3996,0,0.9941,0.9941,0.003,0.0029,False,False,False
Cây bút hình con cu à :>>,cây bút_hình con cu à,5,1,OFFENSIVE,2,0.7139,1,0.466,0,0.994,0.994,0.0028,0.0032,False,True,False
"chúng nó quên nhiều thứ, nhưng ăn cướp là việc chúng nó không bao giờ quên",chúng_nó quên nhiều thứ nhưng ăn_cướp là việc chúng_nó không bao_giờ quên,12,2,HATE,2,0.4952,2,0.45,0,0.994,0.994,0.0028,0.0032,True,True,False
Mắc ói,mắc ói,2,1,OFFENSIVE,1,0.9821,1,0.5009,0,0.994,0.994,0.0041,0.0018,True,True,False
Biệt tài trả lời xong chẳng biết trần dần nói gì. Vũ Hoàng Lân thiếu người để kiếm viu đi phỏng vấn người điên.,biệt_tài trả_lời xong chẳng biết trần dần nói gì vũ_hoàng_lân thiếu người để kiếm viu đi phỏng_vấn người điên,19,2,HATE,0,0.6411,0,0.3956,0,0.9939,0.9939,0.0027,0.0034,False,False,False
"A đừng có giống chị Tịp đấy nhé, thông báo cách li tại nhà rồi đi quán uống cafe .☺️",anh đừng có giống chị tịp đấy nhé thông_báo cách_li tại nhà rồi đi quán uống cafe,17,2,HATE,0,0.8876,0,0.9478,0,0.9938,0.9938,0.0014,0.0047,False,False,False
Còn anh có công với ghpg đâu rồi.chắc lên cỏi niết bàn rồi thì phải???,còn anh có công với ghpg đâu rồi chắc lên cỏi niết bàn rồi thì phải,16,2,HATE,0,0.9559,0,0.9593,0,0.9938,0.9938,0.0016,0.0045,False,False,False
Thật ra là quên kéo khóa quần ngoài lộ quần trong nên để lộ hẳn thành phong cách mới cho nó đỡ quê,thật_ra là quên kéo khóa quần ngoài lộ quần trong nên để lộ hẳn thành phong_cách mới cho nó đỡ quê,21,1,OFFENSIVE,0,0.9411,0,0.9555,0,0.9937,0.9937,0.0035,0.0029,False,False,False
Giờ m mới sáng mắt ra và tai đã nghe đc rùi phải k,giờ mày mới sáng_mắt ra và tai đã nghe được rồi phải không,13,2,HATE,0,0.8896,0,0.8639,0,0.9937,0.9937,0.0019,0.0044,False,False,False
"có tiền cứ làm,chỉ có bọn không có tiền làm mới ý kiến lọ chai",có tiền cứ làm chỉ có bọn không có tiền làm mới ý_kiến lọ chai,15,2,HATE,2,0.8162,2,0.8104,0,0.9937,0.9937,0.0029,0.0034,True,True,False
ôi a dg nhai bcs rùi đấy,ôi anh đang nhai bcs rồi đấy,7,1,OFFENSIVE,0,0.9084,0,0.7922,0,0.9936,0.9936,0.0029,0.0036,False,False,False
Thôi bớt ngựa ông... đừng đi tùm lum để khéo mắc bệnh rồi cách li... là dân việt nam mừng lắm rồi,thôi bớt ngựa ông đừng đi tùm_lum để khéo mắc bệnh rồi cách li là dân việt_nam mừng lắm rồi,20,2,HATE,0,0.5369,2,0.7961,0,0.9935,0.9935,0.0014,0.0051,False,True,False
"Đâu chỉ có HK, Vietnam cũng cần tẩy chay nhỉ, vì có hẳn cả 2 sao ủng hộ đường lưỡi bò",đâu chỉ có hk vietnam cũng cần tẩy_chay nhỉ vì có hẳn cả 2 sao ủng_hộ đường lưỡi bò,19,1,OFFENSIVE,0,0.4964,1,0.4755,0,0.9935,0.9935,0.002,0.0045,False,True,False
hiếp tao,hiếp tao,2,1,OFFENSIVE,1,0.8959,0,0.4284,0,0.9935,0.9935,0.0048,0.0018,True,False,False
Đỉ nhân 3.14,đỉ nhân 3 14,4,2,HATE,0,0.9547,2,0.4777,0,0.9934,0.9934,0.0028,0.0038,False,True,False
"Đồng chí cục trưởng chuẩn bị ăn tối món ""chao xả gich"" với đồng chí cấp phó",đồng_chí cục trưởng chuẩn_bị ăn tối món chao xả gich với đồng_chí cấp phó,14,2,HATE,2,0.517,0,0.6313,0,0.9934,0.9934,0.0017,0.0048,True,False,False
chug nao bon quan chuc cs bj lat do thj vn moi co tuong lai,chug nao bon_quan chuc có bj lat do thj vn moi co_tuong lai,13,2,HATE,0,0.5999,0,0.7695,0,0.9933,0.9933,0.0022,0.0045,False,False,False
Hương Thảo vkl,hương_thảo vkl,2,2,HATE,0,0.9579,0,0.3932,0,0.9932,0.9932,0.0038,0.003,False,False,False
og tran dan ok bi  nhiem coronna.ma bi nhiẻm beh khat la beh gi? og bi beh B 20 dan đen than kih ko on nen noi nhieu . vui,og tran dan đồng_ý bi_nhiem coronna ma bi_nhiẻm beh khat_la beh gi og bi_beh b 20 dan đen than kih không on nen noi nhieu vui,26,2,HATE,0,0.9555,0,0.8075,0,0.9929,0.9929,0.0035,0.0036,False,False,False
"Làm chủ tịch thành phố dễ vậy sao, chắc các cháu tiểu học cũng làm được",làm chủ_tịch thành_phố dễ vậy sao chắc các cháu tiểu_học cũng làm được,13,2,HATE,0,0.7989,0,0.8891,0,0.9929,0.9929,0.0023,0.0048,False,False,False
Minh Nhật chuẩn cmnr. Jack tuổi j so dislike :))) haha. K atm là ca sĩ duy nhất trên thế giới mà k cần hát mà,minh_nhật chuẩn cmnr jack tuổi gì so dislike vui không atm là ca_sĩ duy_nhất trên thế_giới mà không cần hát mà,21,2,HATE,2,0.5707,2,0.5551,0,0.9929,0.9929,0.0029,0.0042,True,True,False
Tóc đẹp vai lon :)),tóc đẹp vai lon,4,1,OFFENSIVE,0,0.514,0,0.6695,0,0.9928,0.9928,0.005,0.0022,False,False,False
K phải khen chứ phim dỡ vkl,không phải khen chứ phim dỡ vkl,7,1,OFFENSIVE,0,0.91,0,0.6912,0,0.9928,0.9928,0.005,0.0023,False,False,False
"nó ko cộng điểm, mà nó cho thí sinh rớt bớt thôi, có bà chị gặp vụ này r :)))) thi điểm cao vẫn rớt nhé",nó không cộng_điểm mà nó cho thí_sinh rớt bớt thôi có bà chị gặp vụ này rồi thi_điểm cao vẫn rớt nhé,22,1,OFFENSIVE,0,0.9354,2,0.4795,0,0.9928,0.9928,0.0029,0.0044,False,False,False
Phó Chủ nhiệm UBKTTP Tân an(Long an) không có bằng cấp 3 nhưng lý luận CT rất giỏi,phó chủ_nhiệm ubkttp_tân_an long_an không có bằng_cấp 3 nhưng lý_luận ct rất giỏi,13,2,HATE,2,0.5638,0,0.6814,0,0.9927,0.9927,0.0032,0.0041,True,False,False
Lần sau bắt gặp chụp thành quả + chủ vũng nước đái = ghép lại. Up nó lên gr cty cho đội quần luôn 😃,lần sau bắt_gặp chụp thành_quả chủ vũng nước đái_ghép lại up nó lên gr cty cho đội quần luôn,19,2,HATE,0,0.8453,0,0.8941,0,0.9927,0.9927,0.0035,0.0039,False,False,False
Đm! Đen méo chơi nữa,đm đen méo chơi nữa,5,0,CLEAN,1,0.8906,1,0.5829,1,0.9927,0.0031,0.9927,0.0042,False,False,False
Xạo xạo làm youtube kiếm tiền chứ liệu gì,xạo xạo làm youtube kiếm tiền chứ_liệu gì,8,0,CLEAN,1,0.9562,2,0.6491,1,0.9926,0.0031,0.9926,0.0043,False,False,False
Cực kỳ thuyết con mẹ nó phục,cực_kỳ_thuyết con mẹ nó phục,5,0,CLEAN,1,0.9386,1,0.662,1,0.9926,0.0033,0.9926,0.0041,False,False,False
Phát biểu nguu vãi,phát_biểu nguu vãi,3,2,HATE,1,0.8551,1,0.6066,1,0.9925,0.0039,0.9925,0.0036,False,False,False
Nguyễn Yến Nhi đang tính cmt luôn. :)))) Coi xong kiểu WTF?? T đã coi clg thế :)))),nguyễn yến_nhi đang tính comment luôn coi xong kiểu wtf tao đã coi clg thế,15,2,HATE,0,0.9334,0,0.9701,0,0.9925,0.9925,0.0056,0.0018,False,False,False
"Vũ Khắc Tiệp-kẻ chân dài, đầu ngắn?",vũ_khắc_tiệp kẻ chân dài đầu ngắn,6,2,HATE,0,0.4376,0,0.4995,0,0.9924,0.9924,0.0047,0.003,False,False,False
Đi làm osin mà xạo lol ghê,đi làm osin mà xạo lol ghê,7,2,HATE,1,0.8983,1,0.7538,1,0.9924,0.0031,0.9924,0.0045,False,False,False
đíu tin được luôn =)))))))),đíu tin được luôn,4,0,CLEAN,1,0.9212,1,0.5487,1,0.9924,0.0038,0.9924,0.0037,False,False,False
Bịt lol chạy quanh nhà là có thật 🤣🤣,bịt lol chạy quanh nhà là có thật,8,0,CLEAN,1,0.7971,2,0.6138,1,0.9924,0.0032,0.9924,0.0044,False,False,False
Thanh xuân như một cái đụ,thanh_xuân như một cái đụ,5,0,CLEAN,0,0.5246,1,0.6808,1,0.9923,0.0039,0.9923,0.0038,True,False,False
"Dkm phat ,noi nhu c",dkm phat noi nhu_c,4,2,HATE,1,0.8194,1,0.6973,1,0.9923,0.003,0.9923,0.0047,False,False,False
Tao thấy nhiễm covid này toàn bọn nhiều tiền và thích đi du lịch đấy..,tao thấy nhiễm covid này toàn bọn nhiều tiền và thích đi du_lịch đấy,14,2,HATE,2,0.498,1,0.4969,0,0.9923,0.9923,0.0034,0.0043,True,False,False
Chac chan  Coronaviruswuhan qua di thi The Gioi se khong de yen  Trung Cong .,chac chan_coronaviruswuhan qua di_thi the gioi se không de yen trung_cong,11,2,HATE,0,0.7392,0,0.9374,0,0.9923,0.9923,0.003,0.0048,False,False,False
